name,platform,price,discount,normal,rating,total
"Jurassic World Evolution",PS4,$29.99,50,$59.99,4.57,383
"L.A. Noire",PS3,$8.99,70,$29.99,4.37,1747
"Life is Strange Complete Season",PS3,$3.99,80,$19.99,4.85,1796
"LittleBigPlanet™ 3",PS4,$15.99,20,$19.99,4.36,24472
"NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 - Deluxe Edition",PS4,$31.99,60,$79.99,4.81,1286
"Party Golf",PS4,$2.24,85,$14.99,4.4,10
PROTOTYPE™,PS3,$9.99,50,$19.99,4.58,4922
"Rocket League® – Fast & Furious™ DLC Bundle",PS4,$2.49,50,$4.99,4.04,519
Shadwen,PS4,$4.24,75,$16.99,4.01,174
"Sonic & All-Stars Racing Transformed",PS3,$9.99,50,$19.99,4.48,488
"Suikoden III (PS2 Classic)",PS3,$4.99,50,$9.99,4.89,444
"The Elder Scrolls® Online",PS4,$9.99,50,$19.99,4.22,734
"The Silver Case",PS4,$7.99,60,$19.99,4.2,15
"Trillion: God of Destruction","PS Vita",$1.99,80,$9.99,4.4,53
"We Are The Dwarves",PS4,$3.74,75,$14.99,2.43,51
"Yu-Gi-Oh! Legacy of the Duelist! ZEXAL Dark Mist Saga",PS4,$1.99,60,$4.99,4.46,139
"Chroma Squad",PS4,$7.49,50,$14.99,4.56,34
"Conan Exiles",PS4,$24.99,50,$49.99,4.15,817
"Dengeki Bunko: Fighting Climax",PS3,$11.99,40,$19.99,4.82,88
"Deus Ex: Mankind Divided - Digital Deluxe Edition",PS4,$6.74,85,$44.99,5,59
"Dragon Age™: Inquisition - Game of the Year Edition",PS4,$9.99,75,$39.99,4.58,4106
"Enter the Gungeon",PS4,$7.49,50,$14.99,4.66,4137
"Fairy Fencer F: Advent Dark Force",PS4,$11.99,60,$29.99,4.68,713
"FINAL FANTASY® VII",PS4,$9.59,40,$15.99,4.94,19393
"Get Even",PS4,$7.49,75,$29.99,4.31,81
"God of War III Remastered",PS4,$2.99,85,$19.99,4.76,17556
"Guacamelee! STCE 'Frenemies' Character Pack",PS4,$0.74,75,$2.99,4.46,781
"Guns, Gore and Cannoli 2",PS4,$8.70,33,$12.99,4.39,31
"Horizon Chase Turbo",PS4,$12.99,35,$19.99,4.63,43
Jeopardy!®,PS4,$12.99,35,$19.99,2.58,53
"Journey™ Collector’s Edition",PS4,$4.99,80,$24.99,4.75,398
"Just Cause 3 - Capstone Bloodhound RPG",PS4,$0.74,70,$2.49,4.7,74
"Keep Talking and Nobody Explodes",PS4,$7.49,50,$14.99,4.43,332
"Mirror's Edge",PS3,$3.74,75,$14.99,4.57,7556
"Pure Farming 2018",PS4,$11.99,60,$29.99,2.86,29
"Regalia: Of Men and Monarchs - Royal Edition OST Combo",PS4,$17.09,40,$28.49,5,2
"Rocket League® - Vulcan",PS4,$0.99,50,$1.99,4.14,1287
"Sniper Elite 3",PS4,$8.99,70,$29.99,4.24,3656
"Strange Brigade",PS4,$24.99,50,$49.99,4.6,83
"Super Night Riders",PS4,$3.99,50,$7.99,4.17,12
"The Evil Within Digital Bundle",PS4,$14.99,50,$29.99,4.78,438
"The Jackbox Party Trilogy",PS4,$35.99,40,$59.99,4.67,15
"The Sims™ 4 Dine Out",PS4,$9.99,50,$19.99,3.91,74
"The Witcher 3: Wild Hunt – Complete Edition",PS4,$19.99,60,$49.99,4.84,5806
"Titanfall® 2: Ultimate Edition",PS4,$5.99,85,$39.99,4.72,236
"Tom Clancy’s The Division™ Gold Edition",PS4,$26.99,70,$89.99,4.53,1661
"Unravel Two",PS4,$7.99,60,$19.99,4.64,96
"Wolfenstein® II: The New Colossus™ Digital Deluxe Edition",PS4,$19.79,67,$59.99,4.8,143
Xenoraid,PS4,$1.99,80,$9.99,4.36,14
"18 Floors",PS4,$8.99,40,$14.99,2.7,10
"Battle Chef Brigade Deluxe",PS4,$11.99,40,$19.99,4.91,11
Bloodborne™,PS4,$6.99,65,$19.99,4.76,41718
"DEAD OR ALIVE 5 Last Round",PS4,$19.99,50,$39.99,4.65,2165
"Deus Ex: Mankind Divided - Assault Pack",PS4,$1.24,75,$4.99,,
"Dishonored®: The Complete Collection ",PS4,$31.99,60,$79.99,4.92,12
Electronauts,PS4,$7.99,60,$19.99,4.7,56
"FALLOUT 4 - Automatron",PS4,$5.99,40,$9.99,4.58,12684
"Fallout 4: Contraptions Workshop",PS4,$2.99,40,$4.99,4.57,4606
"Fallout 4: Vault-Tec Workshop",PS4,$2.99,40,$4.99,4.6,4342
"FATAL FURY™ BATTLE ARCHIVES VOL.2",PS4,$5.99,60,$14.99,4.59,85
"GTAV: Premium Online Edition & Megalodon Shark Card",PS4,$39.59,67,$119.99,,
Guacamelee!,PS3,$5.99,60,$14.99,4.55,33
"HYPERDIMENSION NEPTUNIA: PRODUCING PERFECTION","PS Vita",$3.99,60,$9.99,4.54,177
"Just Cause 2",PS3,$1.99,90,$19.99,4.5,5657
"Just Cause 3 - Mini-Gun Racing Boat",PS4,$0.59,70,$1.99,4.68,170
"Killing Floor: Incursion",PS4,$14.99,50,$29.99,4.53,167
"Knee Deep",PS4,$4.49,70,$14.99,4.09,34
"Koihime Enbu RyoRaiRai",PS4,$14.99,25,$19.99,3.8,15
"METAL GEAR SOLID V: THE PHANTOM PAIN",PS4,$13.39,33,$19.99,4.74,33712
"Middle-earth™: Shadow of War™",PS4,$12.49,75,$49.99,4.48,1977
"Middle-earth™: Shadow of War™ Definitive Edition",PS4,$23.99,60,$59.99,4.55,20
Moonlighter,PS4,$13.99,30,$19.99,4.31,126
MUSYNX,PS4,$8.99,70,$29.99,4.33,15
"MY HERO ONE'S JUSTICE",PS4,$41.99,30,$59.99,4.63,188
"NARUTO: Ultimate Ninja STORM",PS4,$11.99,40,$19.99,4.26,62
"Need for Speed™",PS4,$4.99,75,$19.99,4.33,15884
